x1,x2,target
1.98548951,1.53928039,1
0.66893763,-1.26992354,0
-0.83129646,-0.54762683,0
1.31597915,-1.37588320,1
0.92320965,-0.00109598,1
-0.58100653,0.74893739,0
1.04551469,0.48783491,1
-1.77448512,-1.79017115,0
1.55453708,0.42222867,1
1.68799333,1.58025240,1
0.43028771,1.78379428,1
1.80272469,0.26910807,1
0.29668671,1.88003280,1
-0.08056517,-0.20097859,1
-1.07060528,-0.89529459,0
-0.17003985,1.81332894,1
-0.13881844,0.80979998,1
-0.90544856,1.31672789,0
1.71459476,-0.20680487,1
0.06470748,1.74555390,1
-1.80844118,-0.52071242,0
0.84774563,0.23632257,1
-0.19251877,-1.29893817,0
0.03156482,0.04124727,0
0.18282010,0.78135237,1
0.86855406,-1.60328305,0
1.36807744,0.91150072,1
-0.92765205,0.94261307,0
-1.27235733,0.52411167,0
-1.64402958,-0.11095645,0
0.73827092,1.88721988,1
-0.45241529,-1.99618495,0
0.00755618,0.76040208,1
-1.28207921,-0.86319840,0
-0.97608010,0.35831550,0
1.17697109,0.51131780,1
1.72791636,-0.61277877,1
1.54276295,1.45024160,1
1.37785957,1.35998478,1
-1.77922440,1.73521372,0
1.76674006,1.70571276,1
1.00917824,1.19519549,1
-1.05981855,0.15576813,0
0.17918378,1.65947712,1
0.74548723,1.18971279,1
1.32215328,1.72377713,1
-1.54913724,0.65039118,0
0.34011557,-1.41298756,0
0.58524351,-0.79176974,0
0.22873524,0.20643643,1
-0.60281839,-0.39295931,0
0.50382723,0.11762977,1
1.39232905,1.65526607,1
-0.33188943,-0.54788638,0
0.18460794,1.83227816,1
1.80870494,-0.62635790,1
-0.42730111,-1.24331009,0
1.79944350,1.42720893,1
1.71706106,-0.38364461,1
0.72136001,-0.18633579,1
-1.73541268,1.06937742,0
-0.00267925,1.32487473,1
-0.47324826,-0.46045596,0
1.70289702,1.34803975,1
1.49619561,-0.57098117,1
-0.64686214,-1.63542944,0
0.45089326,0.50498625,1
1.72659625,1.63874716,1
1.07259930,-0.10536669,1
1.81610582,1.63061805,1
0.98098258,1.24714876,1
-0.81521738,1.69554601,1
0.60404884,1.12105713,1
1.25667902,1.57820595,1
-0.81378744,1.55715157,1
-0.87527277,-1.61852603,0
-1.94631730,-0.39046195,0
-0.27318580,-1.91180794,0
-0.13105539,1.07656573,1
-1.65333668,-1.39339371,0
0.24659098,1.76817809,1
1.38938654,1.83984597,1
1.71956192,-1.51484898,1
-1.74326889,1.94128681,0
-0.57809973,-1.17600194,0
0.07801055,1.21833220,1
-0.32262118,-0.96537659,0
0.22427667,-0.58878687,0
-0.07569093,-0.83710740,0
-1.48363032,1.58460421,0
-0.56324864,-0.40834098,0
-0.10976546,0.35368817,0
-0.80025686,-1.94849246,0
-1.57030767,1.78845644,0
-1.01259643,-1.44145838,0
-1.71904021,1.46150137,0
-1.97913120,0.49180105,0
-0.08982316,-1.95590971,0
0.84896889,-0.28493584,1
-1.42809657,-1.25731007,0
-0.24321208,1.86284190,1
0.86908589,-0.55051608,1
0.82244558,-0.57990861,0
-0.19716495,1.32424827,1
-1.31862546,-0.72468478,0
1.04406792,0.18960540,1
1.89906087,-1.43755007,1
-0.08861389,-1.03930431,0
-1.52316895,-0.01206999,0
-0.80445756,0.83810684,1
-0.02582479,0.83340428,1
1.81126627,0.33736927,1
1.69749283,1.96516888,1
-0.72555848,1.87467147,1
-0.33239565,-0.74496924,0
0.66419941,0.11131188,1
1.82740628,1.99063143,1
-0.55672323,-1.85889324,0
1.41542160,0.35451116,1
0.62331692,-0.20209778,1
1.69664706,0.48187714,1
1.12815278,0.05693825,1
0.77850499,-0.79919814,0
-1.47908323,-1.81109981,0
-0.17232308,1.65724845,1
1.83500955,0.01595871,1
0.55213122,-0.75301445,0
-0.82750438,-0.47403923,0
1.41092285,1.08711963,1
0.94920511,-0.97334099,1
1.42157841,-1.41424286,1
1.72513471,1.96351521,1
-1.68263427,-1.59843767,0
1.48650476,-0.37931782,1
0.07329889,-0.23898298,1
-0.15986436,-1.48032163,0
-0.22740286,-1.67153148,0
0.25198754,1.85719751,1
1.70176384,-1.27510623,1
-1.60718918,-0.17967418,0
-0.18249693,1.63950063,1
1.16404883,0.90581369,1
1.31835852,0.72131354,1
-0.42559166,-0.53694291,0
1.29582880,-0.86454745,1
-1.87129918,-0.95220644,0
-0.47847433,0.74004424,0
-1.06892241,-1.34830915,0
0.72106395,-0.88300248,0
-0.09540371,1.28925843,1
1.42404581,0.83123446,1
0.39454442,0.79171338,1
-1.61283703,0.32881081,0
-0.68257391,0.41898647,0
1.10017513,-1.08664304,1
0.43205472,-0.17426077,1
-0.79982501,0.91104439,0
0.28838420,-1.96604687,0
-0.45184651,-1.04395482,0
1.86570805,-0.85868839,1
-0.97437982,-1.10172961,0
-0.62126828,0.38642823,0
1.35581348,0.71106499,1
-0.47376808,-1.47114004,0
-0.21850875,0.19363606,0
0.97764910,-1.70318763,0
-0.56231853,-1.02662854,0
-1.05633725,0.95719717,0
-0.54835839,0.72187493,0
-0.45853235,-0.80746435,0
1.69979465,0.89035482,1
-0.70039593,-0.42986632,0
-0.70378538,-1.07840153,0
-0.31344830,1.55044149,1
1.80933080,-0.69387870,1
0.21020329,-0.02120925,0
-0.95741168,1.22087939,1
-0.69553223,0.38829184,0
-0.08582847,-1.49008025,0
1.02340468,0.24785388,1
0.54914571,0.93180158,1
-1.13185934,-1.00305807,0
-0.33065079,1.97373643,1
-0.60061923,0.04499260,0
1.61863238,-1.17792576,1
-0.51541356,0.70893673,0
0.78222168,0.51855392,1
-0.66165812,0.44440221,0
-0.44254165,0.56131873,0
1.47170035,-1.14772073,1
1.65652801,-1.95154036,1
1.87274641,-0.22055273,1
-1.53526370,1.64234483,0
-0.82644495,0.05011484,0
1.00423399,-0.04576188,1
0.03056979,0.03961625,1
-1.17245294,0.41038502,0
1.12476206,0.75833613,1
0.90103041,-0.89276632,0
-0.44238438,-1.36237096,0
-0.72632788,1.74804979,1
0.79096160,-0.21273014,1
-0.12092193,-0.87223414,0
-0.43451386,1.81824297,1
1.25597603,-0.80350682,1
-0.27427022,1.30410589,1
-0.17317281,-1.50891995,0
-1.40838918,1.11447893,0
0.26548017,1.79817549,1
0.41596069,0.01487717,1
-0.68247108,0.54071043,0
1.37905157,-1.05883222,0
1.07025264,1.93446367,1
-1.89034747,-1.10461474,0
-1.52721497,-0.60489355,0
-1.44907776,0.27763253,0
1.04844625,-1.37054032,1
1.65116476,0.74884708,1
1.48823448,-0.03868832,1
-1.25693078,1.65935797,0
-0.80283666,1.68916707,1
-0.07999866,0.68767259,1
1.24726443,-1.18822364,1
-1.88365291,-0.12669668,0
1.06139858,-0.50601758,1
-0.24140575,1.32279676,1
0.83035292,1.46464380,1
1.41642397,0.49622963,1
1.53401490,0.59679161,1
1.41347257,0.27125170,1
1.53050930,-1.13720836,1
0.56811482,1.50895818,1
